OBJECTID,CSA2010,resrehab10,resrehab11,resrehab12,resrehab13,resrehab14,resrehab15,resrehab16,resrehab17,resrehab18,resrehab19,resrehab20,CSA2020,resrehab21,Shape__Area,Shape__Length
29,Howard Park/West Arlington,2.81,3.14,2.4390243902439,3.13588850174216,3.42422320862397,4.15345592897907,5.08259212198221,6.77696468342348,5.85427935093859,6.31970260223048,6.102987921,Howard Park/West Arlington,5.435473617,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,3.9,3.71,4.35367288619936,4.61874370171313,4.82309746328438,4.90654205607477,4.40073345557592,5.44149557669838,4.89066933733934,4.26453439946693,4.824928799,Inner Harbor/Federal Hill,3.652203049,24995836.2615967,43415.0595478862
31,Lauraville,2.03,2.55,2.45645377400625,3.59455235543648,3.4413407821229,3.41899441340782,4.18063939190699,5.21252796420581,4.76510067114094,5.82138919514884,5.998651988,Greater Lauraville,5.626541134,49665744.2354736,34419.676527973
32,Loch Raven,1.49,1.21,0.874497754667927,1.15811864807374,1.46641438032167,2.01040681173132,2.5792711784193,3.02958579881656,3.26627218934911,3.70021211407023,3.176861072,Loch Raven,3.437648174,44147812.3265381,29314.3346718286
33,Madison/East End,3.7,2.84,2.95765877957659,1.79122915379864,1.17392647513129,2.71856657398826,2.01363073110285,5.62944633467367,5.78410145375812,5.83562480904369,7.072872015,Madison/East End,6.766687079,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,2.37,1.93,2.89833531510107,3.64606491774122,3.83259911894273,3.53891336270191,3.97727272727272,8.38794233289646,6.50939274792486,7.93628615341623,7.237706114,Hampden/Remington,6.065908428,62441489.2398071,43152.625699222
35,Midtown,3.9,3.9,4.72165549402507,4.73837209302326,5.75414123801221,5.55071200232491,5.33715925394548,5.74778381469831,7.57792393480126,6.64385514684915,5.835240275,Midtown,5.118673148,23823949.9294434,25020.0969698082
36,Midway/Coldstream,2.04,1.61,1.56588773789448,1.63934426229508,1.28703254006799,1.04419621175328,1.63255360623781,2.29828850855745,3.44743276283619,3.3790401567091,3.957457334,Midway/Coldstream,5.812515459,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,1.14,1.37,1.36378052648271,0.951173113506658,1.07799619530755,1.20481927710843,1.17423040304665,2.31598984771573,2.60152284263959,2.3170731707317,2.09258085,Morrell Park/Violetville,2.346227013,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,3.07,6.53,4.21455938697318,4.81663929939792,4.6448087431694,4.48087431693989,4.6713742531233,4.56273764258555,5.16023900054318,5.70522979397781,5.377512222,Mount Washington/Coldspring,5.377512222,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,3.49,3.53,3.89074474356455,4.47761194029851,4.55348380765456,4.20019627085378,3.93654524089306,5.03428011753183,6.22918707149853,6.47149460708782,5.628554619,North Baltimore/Guilford/Homeland,5.942341636,74923987.6937256,42904.2221443544
40,Northwood,1.39,1.35,1.56350396230456,1.67130919220056,2.14270409256482,2.37840154274695,2.85101822079314,3.64728599013087,3.75455910748766,4.45859872611465,4.296455424,Northwood,3.759398496,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,4.92,6.01,8.46153846153846,11.7647058823529,5.20346897931955,4.53635757171448,5.83224115334207,7.96930342384887,5.43093270365998,11.2790697674418,5.878894768,Oldtown/Middle East,3.409758965,24585968.2341919,23866.3281788863
