OBJECTID,CSA2010,cashsa11,cashsa12,cashsa13,cashsa14,cashsa15,cashsa16,cashsa17,cashsa18,cashsa19,cashsa20,CSA2020,cashsa21,Shape__Area,Shape__Length
34,Medfield/Hampden/Woodberry/Remington,34.97,31.22362869,24.27536232,23.2323,24.48377581,20.44887781,20.61657033,16.2087912087912,16.4113785557986,13.6460554371002,Hampden/Remington,16.88804554,62441489.2398071,43152.625699222
35,Midtown,40,26.54867257,28.69565217,35,29.00763359,22.5,25.1572327,22.7941176470588,23.9316239316239,17.3076923076923,Midtown,30.54187192,23823949.9294434,25020.0969698082
36,Midway/Coldstream,85.88,84.74576271,90.90909091,93.8776,86.13861386,88.7755102,81.09756098,80.5309734513274,78.5714285714285,68.3760683760683,Midway/Coldstream,49.48453608,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,44.93,51.25,50,56.7797,54.24836601,47.9338843,46.82926829,37.7358490566037,37.9746835443038,34.6153846153846,Morrell Park/Violetville,37.19806763,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,19.61,20.28985507,20,19.6078,27.53623188,20.54794521,21.83908046,26.1904761904761,18.1818181818181,16.6666666666666,Mount Washington/Coldspring,12.34567901,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,21.14,26.01156069,28.50877193,33.7553,27.23404255,26.18181818,28.33876221,26.615969581749,24.1379310344827,17.7083333333333,North Baltimore/Guilford/Homeland,25.56634304,74923987.6937256,42904.2221443544
40,Northwood,32.14,28.125,39.04761905,34.4,34.85714286,29.23076923,31.27413127,21.6374269005847,18.4782608695652,23.6842105263157,Northwood,19.90740741,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,47.62,48,54.16666667,40,39.62264151,21.25,42.10526316,37.037037037037,24,18.75,Oldtown/Middle East,21.53846154,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,54.55,57.64705882,48,47.8992,49.34210526,46.4516129,41.63090129,32.1428571428571,29.1891891891891,26.0416666666666,Greektown/Bayview,23.28244275,89894372.2113037,47825.8629266244
43,Patterson Park North & East,41.81,40.86378738,34.96143959,31.5508,29.18552036,25.47770701,22.75862069,24.3190661478599,25.7709251101321,20.9764918625678,Patterson Park North & East,17.34860884,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,71.43,60.56338028,53.33333333,62.1951,65.65656566,49.01960784,51.61290323,47.787610619469,61,45.2830188679245,Penn North/Reservoir Hill,39.58333333,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,82.09,85.71428571,69.56521739,66.2791,74.54545455,77.87610619,75.88235294,72.9323308270676,60.1626016260162,58.5365853658536,Pimlico/Arlington/Hilltop,46.66666667,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,58.62,52.17391304,64.51612903,45.4545,64.51612903,56.92307692,58.62068966,47.6190476190476,42.5925925925925,44.4444444444444,Poppleton/The Terraces/Hollins Market,31.88405797,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,92.11,88.67924528,92.5,93.2039,97.4025974,88.49557522,88.10810811,86.2857142857142,84.1269841269841,87.7358490566037,Sandtown-Winchester/Harlem Park,79.55555556,23672092.8682861,20987.1433066354
48,South Baltimore,19.21,18.00947867,15.73033708,14.2857,12.96296296,12.4,9.846153846,10.2459016393442,12.5541125541125,7.36842105263157,South Baltimore,11.5,46353935.4255981,68440.02582664
49,Southeastern,41.18,47.5,60.41666667,57.8125,50.58823529,45.45454545,40.54054054,36.9230769230769,26.1363636363636,29.5774647887323,Southeastern,33.70786517,111251478.472229,102291.480547698
50,Southern Park Heights,91.89,73.21428571,84.375,80.4348,84.90566038,81.05263158,67.13286713,69.6202531645569,64.7540983606557,60,Southern Park Heights,40.64516129,27876227.5908203,24052.221372193
51,Southwest Baltimore,90,92.4137931,88.96551724,86.3946,88,84.12698413,86.04651163,83.6538461538461,81.25,85.3293413173652,Southwest Baltimore,84.55284553,37766068.8365479,28355.563581391
52,The Waverlies,51.72,65.15151515,55.69620253,48.7179,46.22641509,54.11764706,51.47058824,47.4452554744525,35.5555555555555,28.5714285714285,The Waverlies,25.5033557,20383750.5437012,18733.826879757
53,Upton/Druid Heights,76.6,52.72727273,73.68421053,68.75,68.51851852,71.42857143,66.66666667,64.367816091954,60,49.2753623188405,Upton/Druid Heights,39.3258427,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,60.4,62.5,53.92156863,53.8462,47.5862069,48.42767296,43.69747899,27.2300469483568,29.7872340425531,20.8791208791208,Pigtown/Carroll Park,17.31601732,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,71.11,73.17073171,82.25806452,75.7143,83.33333333,84.41558442,74.44444444,71.9298245614035,80.4878048780487,80,Westport/Mount Winans/Lakeland,55.40540541,45494092.9501953,42573.1244161851
